epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1590.54,0.69974,0.91443,0.84736,0.78083,0.64325,0.76063,0.57073,0.89815,1.19529,0.85635,0.00011884,0.00011884,0.00011884
73,1611.19,0.74757,0.96744,0.8547,0.77761,0.63893,0.75882,0.56878,0.89909,1.17561,0.8568,0.00011488,0.00011488,0.00011488
74,1631.19,0.73071,0.96832,0.85497,0.79124,0.63667,0.75525,0.57318,0.88986,1.16061,0.85586,0.00011092,0.00011092,0.00011092
75,1651.3,0.73546,0.95473,0.86401,0.80774,0.64311,0.7558,0.57275,0.88252,1.15114,0.85577,0.00010696,0.00010696,0.00010696
76,1671.2,0.68677,0.87341,0.85955,0.82048,0.64129,0.75468,0.57283,0.88326,1.13845,0.85832,0.000103,0.000103,0.000103
77,1690.62,0.70487,0.88047,0.84666,0.81633,0.64246,0.75513,0.57114,0.88651,1.13222,0.85945,9.904e-05,9.904e-05,9.904e-05
78,1710.42,0.72888,0.92275,0.85146,0.80998,0.644,0.75848,0.5737,0.89025,1.12742,0.85984,9.508e-05,9.508e-05,9.508e-05
79,1729.77,0.71998,0.87924,0.8769,0.80685,0.64428,0.75641,0.56763,0.90252,1.12754,0.86166,9.112e-05,9.112e-05,9.112e-05
80,1749.66,0.68283,0.8719,0.85075,0.80372,0.64583,0.75721,0.56266,0.90785,1.13303,0.86263,8.716e-05,8.716e-05,8.716e-05
81,1769.4,0.69417,0.85092,0.85196,0.78457,0.65558,0.75741,0.56816,0.89945,1.13367,0.86141,8.32e-05,8.32e-05,8.32e-05
82,1788.84,0.74041,0.93363,0.85125,0.77777,0.6722,0.7711,0.58317,0.88551,1.13292,0.85887,7.924e-05,7.924e-05,7.924e-05
83,1808.24,0.67972,0.87454,0.84267,0.681,0.74413,0.77233,0.5839,0.87934,1.12759,0.85734,7.528e-05,7.528e-05,7.528e-05
84,1827.65,0.66545,0.83349,0.86185,0.67596,0.75736,0.77022,0.58241,0.88004,1.11875,0.85735,7.132e-05,7.132e-05,7.132e-05
85,1846.88,0.66072,0.85052,0.84586,0.6848,0.76332,0.77713,0.59282,0.88137,1.10598,0.85808,6.736e-05,6.736e-05,6.736e-05
86,1866.17,0.70772,0.88303,0.86425,0.68867,0.76245,0.77788,0.59129,0.8807,1.09646,0.85823,6.34e-05,6.34e-05,6.34e-05
87,1885.4,0.67291,0.85249,0.85001,0.68764,0.76003,0.7767,0.59258,0.87805,1.08856,0.85782,5.944e-05,5.944e-05,5.944e-05
88,1905.02,0.69074,0.89313,0.8458,0.77212,0.67491,0.77675,0.59479,0.87587,1.08302,0.85713,5.548e-05,5.548e-05,5.548e-05
